time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=24, tm_sec=34, tm_wday=6, tm_yday=199, tm_isdst=0)C55 G52|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=24, tm_sec=37, tm_wday=6, tm_yday=199, tm_isdst=0)C58 G52|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=24, tm_sec=39, tm_wday=6, tm_yday=199, tm_isdst=0)C57 G52|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=24, tm_sec=42, tm_wday=6, tm_yday=199, tm_isdst=0)C58 G52|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=24, tm_sec=44, tm_wday=6, tm_yday=199, tm_isdst=0)C56 G52|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=24, tm_sec=47, tm_wday=6, tm_yday=199, tm_isdst=0)C57 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=24, tm_sec=49, tm_wday=6, tm_yday=199, tm_isdst=0)C60 G53|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=24, tm_sec=52, tm_wday=6, tm_yday=199, tm_isdst=0)C57 G52|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=24, tm_sec=54, tm_wday=6, tm_yday=199, tm_isdst=0)C58 G52|
time.struct_time(tm_year=2021, tm_mon=7, tm_mday=18, tm_hour=15, tm_min=24, tm_sec=57, tm_wday=6, tm_yday=199, tm_isdst=0)C55 G52|
